city,country,archetype,lat,lon,seed,ssp,epoch,mc,dGW,method,mean_dmg_final,mean_p_liq,mean_pga_g,gw_base_m,vs30_mu,n_nodes_graph
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,4,-0.082092087433906,B0_static_hazus,0.2319877498845785,0.2580085119922894,0.1846736099889982,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,4,-0.082092087433906,B4_cgstg_full,0.5606206449426601,0.26592284234305585,0.18824723685594902,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,5,0.12322503724144585,B0_static_hazus,0.24058719477197868,0.26864640062934847,0.20261705406598227,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,5,0.12322503724144585,B4_cgstg_full,0.5942814085493595,0.23333405911804084,0.18441585957026918,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,6,-0.029045269493842073,B0_static_hazus,0.2512964826552956,0.27609490037397927,0.19791642924581523,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,6,-0.029045269493842073,B4_cgstg_full,0.6402674640752869,0.29219137943634454,0.2224683001226537,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,7,0.15619885490523547,B0_static_hazus,0.26847865003824384,0.30578279031885996,0.20410686575886475,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,7,0.15619885490523547,B4_cgstg_full,0.6817410437383693,0.27357922524358325,0.2390125378123885,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,8,0.0462717813496871,B0_static_hazus,0.23478728690764292,0.2832437602658516,0.1963585320873585,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,8,0.0462717813496871,B4_cgstg_full,0.6599918553208636,0.3032719565645008,0.2161737746968656,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,9,0.1492306493988298,B0_static_hazus,0.25625723256355815,0.27917889443739075,0.1981235575934098,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,9,0.1492306493988298,B4_cgstg_full,0.6553066235723264,0.29384152034850985,0.21950830313177602,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,10,-0.0005694693242521458,B0_static_hazus,0.2373655622026802,0.2747710469743219,0.21388031870962385,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,10,-0.0005694693242521458,B4_cgstg_full,0.6065224901270518,0.2880817426203775,0.20516538767148956,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,11,0.11795301167226818,B0_static_hazus,0.25512709692463886,0.29125634371553316,0.20292304932863028,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,0,Control-NoCC,2100,11,0.11795301167226818,B4_cgstg_full,0.6022259036750259,0.3102492177473192,0.22246174032263777,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,0,0.0,B0_static_hazus,0.23219186303464953,0.22846887264811688,0.19136720735097082,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,0,0.0,B4_cgstg_full,0.6654622177348168,0.3252152667394951,0.22729346809164738,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,1,0.0,B0_static_hazus,0.22620958812704792,0.2569499965565227,0.19390355396862066,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,1,0.0,B4_cgstg_full,0.6611943720212224,0.30274314712013145,0.22286985898854444,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,2,0.0,B0_static_hazus,0.25512460930326164,0.24470985858985744,0.2025983231586054,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,2,0.0,B4_cgstg_full,0.6614349460252394,0.33116904414650994,0.2422996091332686,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,3,0.0,B0_static_hazus,0.23156807432284596,0.2762226510668666,0.18872395851287457,2.493199838083051,221.6618274663144,120
Tianjin,China,deltaic,39.1421,117.1767,1,SSP5-8.5,2020,3,0.0,B4_cgstg_full,0.6118060934757134,0.23901130005722734,0.19629496023478593,2.493199838083051,221.6618274663144,120
