city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,ci_lo,ci_hi,sign
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,SSP1-2.6,72,0.01686,-0.00268,0.03654,zero-crossing
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,SSP2-4.5,72,-0.00719,-0.02934,0.01378,zero-crossing
Casablanca,Morocco,coastal,33.5731,-7.5898,8.0,SSP5-8.5,72,-0.00215,-0.02415,0.01997,zero-crossing
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,Control-NoCC,72,0.00085,-0.02255,0.02252,zero-crossing
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,SSP1-2.6,72,0.02461,0.00365,0.04694,positive
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,SSP2-4.5,72,-0.0098,-0.03348,0.01238,zero-crossing
CapeTown,SouthAfrica,coastal,-33.9249,18.4241,9.0,SSP5-8.5,72,0.00403,-0.01925,0.02681,zero-crossing
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,Control-NoCC,72,0.01279,-0.0064,0.03145,zero-crossing
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,SSP1-2.6,72,0.0215,0.00395,0.03863,positive
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,SSP2-4.5,72,0.00693,-0.01121,0.02391,zero-crossing
BuenosAires,Argentina,coastal,-34.6037,-58.3816,3.5,SSP5-8.5,72,0.01463,-0.00483,0.03343,zero-crossing
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,Control-NoCC,72,0.00015,-0.02112,0.02308,zero-crossing
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,SSP1-2.6,72,0.01117,-0.00834,0.03061,zero-crossing
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,SSP2-4.5,72,-0.00308,-0.02474,0.01751,zero-crossing
Santiago,Chile,mixed,-33.4489,-70.6693,10.0,SSP5-8.5,72,0.00431,-0.01851,0.02851,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,Control-NoCC,72,0.00272,-0.01739,0.02398,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,SSP1-2.6,72,0.01801,-0.00448,0.03837,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,SSP2-4.5,72,-0.00962,-0.031,0.01304,zero-crossing
Bogota,Colombia,high_alt,4.711,-74.0721,6.0,SSP5-8.5,72,0.00082,-0.0218,0.02199,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,Control-NoCC,72,0.01132,-0.00757,0.0292,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,SSP1-2.6,72,0.01311,-0.00604,0.03472,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,SSP2-4.5,72,-0.00043,-0.02093,0.01975,zero-crossing
Auckland,NewZealand,coastal,-36.8485,174.7633,5.0,SSP5-8.5,72,0.0001,-0.01926,0.01931,zero-crossing
Sydney,Australia,coastal,-33.8688,151.2093,6.0,Control-NoCC,72,0.00792,-0.00901,0.02544,zero-crossing
Sydney,Australia,coastal,-33.8688,151.2093,6.0,SSP1-2.6,72,0.03093,0.00995,0.05365,positive
Sydney,Australia,coastal,-33.8688,151.2093,6.0,SSP2-4.5,72,-0.00712,-0.02945,0.01495,zero-crossing
Sydney,Australia,coastal,-33.8688,151.2093,6.0,SSP5-8.5,72,0.00626,-0.0153,0.02737,zero-crossing
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,Control-NoCC,72,0.01112,-0.00818,0.02927,zero-crossing
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,SSP1-2.6,72,0.02348,0.00271,0.04678,positive
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,SSP2-4.5,72,-0.00217,-0.02535,0.0173,zero-crossing
Melbourne,Australia,coastal,-37.8136,144.9631,7.0,SSP5-8.5,72,0.00199,-0.01845,0.02468,zero-crossing
Wuhan,China,lowland,30.5928,114.3055,3.5,Control-NoCC,72,0.00252,-0.01641,0.02181,zero-crossing
Wuhan,China,lowland,30.5928,114.3055,3.5,SSP1-2.6,72,0.01918,-0.00177,0.04119,zero-crossing
