model,held_out,epoch,train_rmse,test_rmse
mlp,2,18,0.06614,0.0706
mlp,2,19,0.0644,0.07089
mlp,2,20,0.06377,0.07566
mlp,2,21,0.06649,0.07085
mlp,2,22,0.06516,0.07122
mlp,2,23,0.06452,0.07353
mlp,2,24,0.06302,0.07253
mlp,2,25,0.06535,0.07363
mlp,2,26,0.06415,0.0908
mlp,2,27,0.06502,0.07068
mlp,2,28,0.06538,0.08345
mlp,2,29,0.06361,0.07206
mlp,2,30,0.06435,0.07239
mlp,2,31,0.06561,0.06998
mlp,2,32,0.0629,0.07262
mlp,2,33,0.06165,0.07324
mlp,2,34,0.06403,0.0713
mlp,2,35,0.06166,0.07269
mlp,2,36,0.06503,0.0695
mlp,2,37,0.06463,0.06885
mlp,2,38,0.06144,0.07209
mlp,2,39,0.06232,0.07052
gnn,2,0,0.24455,0.09979
gnn,2,1,0.0846,0.0721
gnn,2,2,0.0724,0.07108
gnn,2,3,0.067,0.06316
gnn,2,4,0.06419,0.06311
gnn,2,5,0.06272,0.06731
gnn,2,6,0.05893,0.06742
gnn,2,7,0.059,0.05864
gnn,2,8,0.05998,0.06939
gnn,2,9,0.06445,0.05691
gnn,2,10,0.05995,0.0554
gnn,2,11,0.05511,0.05423
gnn,2,12,0.05646,0.05541
gnn,2,13,0.06374,0.06327
gnn,2,14,0.05861,0.0559
gnn,2,15,0.0604,0.05548
gnn,2,16,0.05718,0.05882
gnn,2,17,0.06383,0.05834
gnn,2,18,0.05835,0.05546
gnn,2,19,0.05837,0.0583
gnn,2,20,0.05441,0.07032
gnn,2,21,0.05608,0.05621
gnn,2,22,0.05554,0.05783
gnn,2,23,0.05555,0.05577
gnn,2,24,0.05578,0.05581
gnn,2,25,0.05384,0.05711
gnn,2,26,0.05328,0.05675
gnn,2,27,0.05756,0.05458
gnn,2,28,0.05752,0.07273
gnn,2,29,0.05624,0.0557
gnn,2,30,0.05298,0.05618
gnn,2,31,0.05707,0.05959
gnn,2,32,0.05327,0.06005
gnn,2,33,0.05418,0.07279
gnn,2,34,0.05694,0.05691
gnn,2,35,0.05362,0.05944
gnn,2,36,0.05382,0.0551
gnn,2,37,0.05562,0.0584
gnn,2,38,0.05595,0.05816
gnn,2,39,0.05402,0.0543
mlp,2,0,0.22749,0.09383
mlp,2,1,0.08422,0.0889
mlp,2,2,0.07489,0.08426
mlp,2,3,0.07063,0.07681
mlp,2,4,0.07093,0.07986
mlp,2,5,0.0676,0.0791
mlp,2,6,0.06794,0.09396
mlp,2,7,0.0643,0.07285
mlp,2,8,0.06428,0.08256
mlp,2,9,0.06615,0.07231
mlp,2,10,0.06767,0.07671
mlp,2,11,0.0632,0.07162
mlp,2,12,0.06206,0.07278
mlp,2,13,0.06631,0.07682
mlp,2,14,0.06303,0.07589
mlp,2,15,0.06611,0.07116
mlp,2,16,0.06352,0.07514
mlp,2,17,0.06475,0.07098
mlp,2,18,0.0633,0.07183
mlp,2,19,0.06286,0.07264
mlp,2,20,0.06274,0.07903
mlp,2,21,0.0622,0.07206
mlp,2,22,0.06266,0.08157
mlp,2,23,0.06316,0.07005
mlp,2,24,0.06255,0.07025
mlp,2,25,0.06061,0.06944
mlp,2,26,0.06159,0.06949
mlp,2,27,0.06498,0.0705
mlp,2,28,0.06551,0.08003
mlp,2,29,0.06216,0.07023
mlp,2,30,0.0608,0.0712
mlp,2,31,0.06106,0.07541
mlp,2,32,0.06135,0.07126
mlp,2,33,0.06056,0.08151
mlp,2,34,0.06205,0.07243
mlp,2,35,0.06036,0.07574
mlp,2,36,0.06149,0.07226
mlp,2,37,0.06013,0.07586
mlp,2,38,0.06153,0.07078
mlp,2,39,0.06272,0.07138
gnn,3,0,0.24385,0.11426
gnn,3,1,0.08694,0.08824
gnn,3,2,0.07053,0.08217
gnn,3,3,0.0722,0.06709
gnn,3,4,0.06452,0.06818
gnn,3,5,0.06109,0.06481
gnn,3,6,0.0595,0.06455
gnn,3,7,0.0613,0.0572
