city,ssp,epoch,n_seeds,mean_gap,ci_lo,ci_hi,sign
NewOrleans,Control-NoCC,2040,6,-0.00016,-0.02666,0.02096,zero-crossing
NewOrleans,Control-NoCC,2050,6,0.00229,-0.0364,0.02738,zero-crossing
NewOrleans,Control-NoCC,2060,6,0.00512,-0.0227,0.04189,zero-crossing
NewOrleans,Control-NoCC,2070,6,0.02149,0.00377,0.04655,positive
NewOrleans,Control-NoCC,2080,6,-0.00065,-0.02761,0.02529,zero-crossing
NewOrleans,Control-NoCC,2090,6,0.00037,-0.02782,0.0189,zero-crossing
NewOrleans,Control-NoCC,2100,6,0.0104,-0.0043,0.03391,zero-crossing
NewOrleans,SSP1-2.6,2030,6,0.01395,-0.01237,0.03334,zero-crossing
NewOrleans,SSP1-2.6,2040,6,0.00745,-0.00195,0.01705,zero-crossing
NewOrleans,SSP1-2.6,2050,6,0.00528,-0.01553,0.02715,zero-crossing
NewOrleans,SSP1-2.6,2060,6,0.00584,-0.00467,0.01894,zero-crossing
NewOrleans,SSP1-2.6,2070,6,0.00734,-0.01931,0.02685,zero-crossing
NewOrleans,SSP1-2.6,2080,6,-0.00484,-0.02954,0.01299,zero-crossing
NewOrleans,SSP1-2.6,2090,6,0.01397,0.00076,0.02527,positive
NewOrleans,SSP1-2.6,2100,6,0.00507,-0.0154,0.01474,zero-crossing
NewOrleans,SSP2-4.5,2030,6,0.00857,-0.00323,0.03569,zero-crossing
NewOrleans,SSP2-4.5,2040,6,0.02862,0.01828,0.0403,positive
NewOrleans,SSP2-4.5,2050,6,0.01655,0.00236,0.03285,positive
NewOrleans,SSP2-4.5,2060,6,0.0173,-0.00314,0.03534,zero-crossing
NewOrleans,SSP2-4.5,2070,6,0.01095,-0.00851,0.02729,zero-crossing
NewOrleans,SSP2-4.5,2080,6,0.02417,0.00341,0.04725,positive
NewOrleans,SSP2-4.5,2090,6,0.01832,-0.00333,0.03581,zero-crossing
NewOrleans,SSP2-4.5,2100,6,0.01667,-0.00879,0.03567,zero-crossing
NewOrleans,SSP5-8.5,2030,6,-0.00486,-0.01431,0.00502,zero-crossing
NewOrleans,SSP5-8.5,2040,6,-0.00319,-0.01886,0.02827,zero-crossing
NewOrleans,SSP5-8.5,2050,6,-0.0046,-0.03261,0.01658,zero-crossing
NewOrleans,SSP5-8.5,2060,6,0.01087,-0.02178,0.03122,zero-crossing
NewOrleans,SSP5-8.5,2070,6,0.00611,-0.02398,0.0188,zero-crossing
NewOrleans,SSP5-8.5,2080,6,0.01401,-0.00534,0.03164,zero-crossing
NewOrleans,SSP5-8.5,2090,6,0.02792,-0.005,0.05207,zero-crossing
NewOrleans,SSP5-8.5,2100,6,0.00761,-0.01251,0.02166,zero-crossing
Guangzhou,Control-NoCC,2030,6,-0.00828,-0.02531,0.00517,zero-crossing
Guangzhou,Control-NoCC,2040,6,0.00597,-0.00976,0.01808,zero-crossing
Guangzhou,Control-NoCC,2050,6,-0.00456,-0.04039,0.00836,zero-crossing
