city,country,archetype,lat,lon,gw_base_m,ssp,n_pairs,mean_gap,std_gap,ci_lo,ci_hi,sign
Karachi,Pakistan,coastal,24.8607,67.0011,4.5,SSP5-8.5,72,0.00649,0.09774,-0.01692,0.02805,zero-crossing
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,Control-NoCC,72,-0.00621,0.07845,-0.02457,0.01094,zero-crossing
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,SSP1-2.6,72,0.01468,0.07172,-0.00206,0.03084,zero-crossing
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,SSP2-4.5,72,0.03111,0.07509,0.01427,0.04799,positive
Dhaka,Bangladesh,deltaic,23.8103,90.4125,1.5,SSP5-8.5,72,0.02572,0.07538,0.00814,0.04313,positive
Shanghai,China,deltaic,31.2304,121.4737,2.5,Control-NoCC,72,-0.00484,0.07864,-0.02325,0.01271,zero-crossing
Shanghai,China,deltaic,31.2304,121.4737,2.5,SSP1-2.6,72,0.00264,0.08102,-0.0169,0.01985,zero-crossing
Shanghai,China,deltaic,31.2304,121.4737,2.5,SSP2-4.5,72,0.01646,0.0836,-0.00273,0.03582,zero-crossing
Shanghai,China,deltaic,31.2304,121.4737,2.5,SSP5-8.5,72,0.02986,0.08169,0.01133,0.04883,positive
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,Control-NoCC,72,0.00274,0.08481,-0.01687,0.02249,zero-crossing
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,SSP1-2.6,72,0.00925,0.07589,-0.00841,0.02599,zero-crossing
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,SSP2-4.5,72,0.01074,0.07983,-0.00701,0.02907,zero-crossing
HoChiMinh,Vietnam,deltaic,10.8231,106.6297,2.0,SSP5-8.5,72,0.01023,0.08359,-0.00978,0.02852,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,Control-NoCC,72,-0.00168,0.09915,-0.02362,0.02084,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,SSP1-2.6,72,0.00541,0.10068,-0.01783,0.02907,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,SSP2-4.5,72,0.00812,0.10383,-0.01606,0.03082,zero-crossing
Tashkent,Uzbekistan,arid,41.2995,69.2401,12.0,SSP5-8.5,72,0.00471,0.09338,-0.01632,0.02634,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,Control-NoCC,72,-0.01008,0.09703,-0.03136,0.01138,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,SSP1-2.6,72,0.00056,0.10363,-0.02218,0.02303,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,SSP2-4.5,72,-0.00249,0.11417,-0.02906,0.0245,zero-crossing
Quito,Ecuador,high_alt,-0.1807,-78.4678,6.0,SSP5-8.5,72,0.01089,0.09559,-0.01085,0.03314,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,Control-NoCC,72,-0.00767,0.09477,-0.02902,0.01371,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,SSP1-2.6,72,0.00145,0.10131,-0.02241,0.0239,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,SSP2-4.5,72,-0.00231,0.11071,-0.0277,0.02394,zero-crossing
LaPaz,Bolivia,high_alt,-16.5,-68.15,10.0,SSP5-8.5,72,0.00824,0.09284,-0.01163,0.0302,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,Control-NoCC,72,-0.01091,0.10683,-0.03596,0.01459,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,SSP1-2.6,72,0.00275,0.09743,-0.01949,0.02458,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,SSP2-4.5,72,0.00429,0.11547,-0.02085,0.03229,zero-crossing
Reykjavik,Iceland,cold,64.1466,-21.9426,5.0,SSP5-8.5,72,0.00541,0.09779,-0.0176,0.02692,zero-crossing
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,Control-NoCC,72,-0.01087,0.09522,-0.03248,0.01172,zero-crossing
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,SSP1-2.6,72,0.00543,0.09328,-0.01611,0.02554,zero-crossing
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,SSP2-4.5,72,0.00184,0.10324,-0.02216,0.02593,zero-crossing
Lisbon,Portugal,coastal,38.7223,-9.1393,6.0,SSP5-8.5,72,0.0056,0.08765,-0.01449,0.02568,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,Control-NoCC,72,-0.01449,0.0931,-0.03615,0.00595,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,SSP1-2.6,72,0.005,0.09315,-0.01693,0.02591,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,SSP2-4.5,72,0.00686,0.10726,-0.01874,0.03142,zero-crossing
Naples,Italy,coastal,40.8518,14.2681,8.0,SSP5-8.5,72,0.00982,0.0967,-0.01281,0.03237,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,Control-NoCC,72,-0.00647,0.09849,-0.02936,0.0154,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,SSP1-2.6,72,0.00118,0.09449,-0.01981,0.02221,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,SSP2-4.5,72,0.00169,0.10314,-0.02225,0.02552,zero-crossing
Athens,Greece,mixed,37.9838,23.7275,11.0,SSP5-8.5,72,0.00597,0.09497,-0.01599,0.02721,zero-crossing
